Products,Revenue
2846379,8112
2489483,8102
3811129,8081
4146856,8058
3918528,8052
258634,8030
40929,7954
4472182,7938
1119531,7902
4273431,7900
1693045,7895
3891311,7884
4038486,7884
4414884,7833
688258,7827
3916592,7823
3408476,7820
1308558,7809
4243567,7786
3629345,7783
4140063,7779
3828933,7765
3024662,7762
4381568,7745
669362,7737
4159691,7736
241271,7722
4383595,7714
2924132,7697
1375945,7696
2965075,7692
3908906,7678
683425,7666
1375944,7632
1697922,7569
4125292,7565
4243747,7543
4125265,7510
4084679,7502
4336720,7498
3985414,7483
2939933,7475
690325,7451
4229168,7424
4055896,7413
3800172,7371
3865953,7370
637888,7352
2923445,7340
1894426,7330
4274637,7328
3920222,7326
3878718,7318
3813975,7308
4336384,7298
3891317,7293
14268,7289
4577083,7280
3828936,7262
2111768,7249
1758130,7244
3916612,7219
3549232,7211
4242127,7206
3986459,7202
4428215,7200
3629259,7196
3792980,7192
4161564,7188
2167220,7180
4086086,7171
2846410,7167
2939925,7165
2846408,7164
3865909,7162
4393338,7158
3335352,7158
3521328,7147
4063814,7142
165892,7122
4319260,7089
1230651,7071
4414915,7054
4035074,7052
3159399,7041
4456957,7039
4146808,7032
3975353,7028
4053142,7018
3828932,7017
2235344,6994
4063963,6989
449952,6988
4053160,6976
2879945,6960
1808201,6947
446276,6943
2111856,6939
2227934,6931
148886,6910
4415094,6816
3585835,6814
4250405,6795
3636013,6792
467744,6790
3715286,6784
850505,6767
4328598,6760
2405301,6754
24975,6710
4228924,6687
4137401,6650
4243560,6648
1788170,6641
1607410,6623
2392245,6612
528140,6609
187732,6591
4415180,6572
3786238,6571
52546,6559
3815945,6510
2172580,6510
4623966,6506
2937910,6495
1283286,6492
4034910,6490
4086244,6487
2153704,6470
1597119,6466
419218,6454
2111873,6447
2465184,6443
1691001,6434
4381745,6423
622534,6412
4141944,6410
772311,6406
2374341,6402
2916031,6388
1808196,6386
3408779,6386
165921,6351
1393943,6337
4393956,6334
4321067,6331
4428192,6316
2964764,6316
2152169,6302
1230657,6293
1895113,6274
497401,6270
4336376,6263
10270,6257
1639380,6254
4414827,6239
3786196,6217
294719,6210
3629050,6201
152545,6172
4053133,6161
1894410,6158
3811365,6152
4336060,6150
4199579,6147
4159696,6144
1897378,6139
2846551,6125
308361,6107
148882,6106
4052092,6102
3800256,6099
4334979,6085
3065822,6084
2924134,6065
1639404,6064
2923700,6048
528153,6037
1126072,6036
1391277,6036
2903048,6032
4228919,6018
4055494,6010
3863287,6003
1758186,5999
4086374,5993
19637,5981
4052186,5977
313906,5973
3919402,5952
3636065,5943
669455,5942
3629177,5939
4106102,5931
3915902,5921
3975263,5907
4161794,5903
2465216,5899
4052285,5897
1758071,5882
4336652,5874
4472172,5874
3628959,5870
2168847,5865
1826389,5864
3920828,5859
3909917,5844
3325690,5837
3629067,5822
424414,5811
2903301,5805
4053112,5801
3909899,5793
3159477,5791
1802722,5786
4336394,5782
1126073,5756
1923204,5752
4428264,5744
4381647,5742
2924158,5737
1619041,5720
3800177,5706
4414834,5702
3910424,5699
4158921,5699
3527775,5682
224953,5658
465668,5648
3617244,5630
1391286,5616
109763,5616
3865876,5615
4086388,5598
1758183,5596
52537,5595
4146927,5594
4055900,5594
3637721,5591
418138,5580
109979,5573
1808203,5562
1619035,5556
3869336,5549
3919661,5535
3869436,5527
1638943,5522
3698547,5520
4319255,5519
3891295,5483
4473049,5465
2889519,5463
637890,5459
3924163,5449
4381536,5449
3866355,5421
4472945,5415
1894590,5410
1894437,5404
2937993,5401
1692450,5399
3157992,5395
1787677,5395
1606708,5390
3911079,5390
3335347,5388
3920327,5377
3266591,5376
3022173,5373
4274995,5370
2350645,5363
4381725,5352
4272693,5351
3979786,5350
1691490,5349
2846269,5347
4472956,5343
4273432,5338
3863436,5334
3715305,5328
4275222,5312
3157234,5312
3569920,5311
1641382,5307
1476818,5307
4483211,5291
4037733,5291
1720636,5290
4158566,5289
3919689,5288
4141828,5281
3346950,5269
446273,5265
3924667,5259
4336785,5258
3715282,5257
3629190,5250
1768669,5245
4053155,5232
419829,5229
4085982,5223
299951,5220
4289395,5189
2167237,5187
4337014,5179
2350719,5176
4129855,5173
3986478,5173
1727179,5167
1758110,5159
2924127,5156
457115,5136
4140428,5127
3918956,5127
189833,5121
1789128,5121
3512013,5108
3527631,5105
3869405,5101
1619042,5097
2924108,5091
2370715,5084
3629234,5068
121031,5065
3918527,5064
3876828,5062
2169593,5047
3863312,5035
3629451,5032
3891315,5032
2916035,5030
3628949,5016
4416251,5005
2846553,4999
1688962,4996
3627682,4989
30437,4985
3799970,4983
1660477,4975
1852573,4967
4228996,4965
1230648,4962
2903349,4961
4053182,4952
3571286,4952
2939926,4952
2995613,4939
4336385,4937
2465205,4932
3910429,4929
3920141,4922
2939927,4914
3026519,4907
4199445,4907
3891292,4904
3795465,4901
3671856,4892
243296,4868
3862234,4864
4055903,4862
4035076,4859
4034908,4854
4084736,4850
3916701,4849
4086359,4844
4274915,4843
626382,4843
111401,4818
1846651,4817
3408241,4800
4428321,4797
2350726,4788
4052257,4781
4381581,4778
1852498,4776
4414682,4760
3521282,4759
3910177,4756
2254806,4756
109983,4756
4229135,4754
3299968,4749
1391284,4744
3629160,4740
2405278,4732
3315077,4730
49781,4730
3985499,4716
3527734,4711
1758040,4707
3800064,4705
2924116,4695
15057,4694
1578975,4694
3780383,4690
2111925,4682
4146881,4680
4336377,4677
244085,4676
1390982,4675
3157233,4671
2192722,4661
111402,4644
4336380,4641
4393340,4635
4378311,4616
3985596,4612
2924096,4605
2374340,4604
1869702,4602
2252251,4597
3865891,4597
4384892,4568
2490119,4554
3920341,4553
1789837,4549
4087797,4548
2053919,4546
1597118,4529
3828920,4527
1197565,4523
1697828,4502
1852512,4491
4297141,4468
2348937,4468
3332849,4467
4321210,4453
2846270,4452
4067644,4437
4381431,4436
3800211,4426
3986471,4424
4443026,4420
4080807,4409
3863403,4393
3709205,4390
3698489,4389
2375702,4385
4129980,4385
3975415,4384
4532332,4380
3877133,4375
2916083,4374
4381663,4372
1808197,4369
3795483,4366
986919,4363
4140419,4360
4034945,4349
1869601,4349
4414993,4341
1575391,4337
3880197,4334
3408244,4325
3800028,4325
1808206,4323
4274239,4322
89555,4321
4275000,4319
2937988,4318
1619889,4310
1000669,4307
1808192,4307
3157994,4304
2111759,4303
2350571,4301
4243470,4300
4107336,4297
1690196,4297
1758094,4295
457110,4283
3891291,4283
1787604,4283
3986473,4281
3795495,4281
3862241,4271
121030,4269
3709203,4267
1720638,4266
3910435,4265
69718,4252
3629523,4251
4241941,4244
1789205,4238
2880165,4237
284915,4236
4592853,4234
4414814,4233
4063764,4233
2882360,4232
4063921,4232
2965310,4228
3795512,4225
243293,4223
3865808,4219
498130,4215
2111753,4214
4243497,4213
1284093,4210
3599622,4209
4146957,4205
2111812,4201
1852602,4198
1394425,4191
418130,4191
3158531,4189
3986469,4186
4483034,4185
3863314,4183
4080812,4172
4053198,4169
3866986,4162
2849388,4158
2465243,4158
1276403,4150
4125377,4148
4328613,4140
3526235,4130
1617086,4127
1641377,4125
2254554,4124
1802712,4117
2465335,4115
1754417,4115
3294213,4113
3865915,4105
3349031,4101
19826,4099
3920193,4096
1720637,4096
3715281,4094
1308544,4090
4414742,4090
3811271,4090
337178,4087
1308531,4082
4141858,4080
2475553,4072
4272699,4070
35572,4049
1424008,4047
3599687,4045
3599621,4041
4226525,4037
3828750,4030
2379991,4027
1639068,4026
4146884,4026
4199320,4025
2026478,4019
4328609,4015
147412,4005
4428345,4004
4414748,4002
3919794,4001
4443065,3999
1391285,3998
3916485,3998
4161842,3995
3876419,3992
1284158,3988
3408462,3987
989146,3974
4243613,3974
2254626,3966
3869311,3960
3916458,3955
690331,3952
138964,3950
3878734,3949
2972555,3948
1391275,3944
4328602,3938
4199524,3934
4161500,3931
3157982,3930
3628981,3930
3800100,3925
55840,3920
1661270,3916
514512,3915
3815906,3906
3916486,3902
39687,3897
1852583,3896
2626,3889
3869340,3885
111396,3885
408027,3884
8507,3881
1578314,3879
2465256,3878
1582783,3874
3266700,3868
3880289,3856
2055444,3852
3512040,3852
1802711,3850
3408603,3847
489953,3845
2489522,3841
923387,3839
1852565,3835
669426,3833
4199673,3832
2146337,3828
2348902,3827
3919023,3825
1579734,3816
3863545,3816
4328599,3813
4472246,3806
3795518,3804
3715284,3804
3865927,3804
4254344,3803
3869384,3799
1869703,3799
3315076,3785
3169050,3784
109982,3784
3294214,3777
2965125,3775
3316635,3770
3985483,3770
2879844,3769
3975163,3756
2465188,3755
525362,3754
1787833,3753
4146862,3750
3877491,3749
4482991,3749
1607408,3745
1619741,3742
1697734,3740
1720635,3739
2229182,3736
4414813,3727
4052256,3726
40231,3714
1061447,3710
2480,3709
422229,3701
3642486,3694
4381531,3673
4243445,3670
465667,3670
1280829,3669
2375701,3667
3635269,3666
4336638,3661
4063882,3650
431505,3648
50293,3644
3671857,3643
3878544,3641
1308560,3640
3599742,3637
3159449,3628
669369,3625
3609894,3619
3909873,3612
4328596,3609
2489980,3608
4467794,3606
407328,3601
2374339,3600
45386,3595
3863303,3583
4472949,3579
2379990,3578
290701,3578
3715279,3576
3824659,3575
3916673,3571
2173627,3568
75120,3567
996730,3565
3865864,3554
3910539,3551
2846375,3546
3611716,3539
3986461,3539
3985579,3530
2254810,3530
3624012,3525
3408246,3524
1726543,3518
4139141,3514
3908885,3507
3628639,3505
2405302,3498
1628372,3494
4467821,3492
418136,3487
3319339,3487
3443496,3485
4319204,3482
3908901,3481
3863313,3479
2465319,3463
2111850,3456
2350642,3455
3863304,3455
3780466,3454
1857460,3447
3869413,3446
182033,3444
2179713,3443
3979768,3443
3797261,3442
4428333,3434
3527679,3432
1424007,3431
2846401,3430
3159509,3429
3916666,3424
1375946,3424
1641380,3424
3975330,3407
518803,3407
3884915,3406
1802715,3394
3158562,3393
4328597,3391
3715232,3388
524511,3388
4336832,3387
3916705,3384
2168670,3382
2484208,3379
4053197,3377
3780491,3373
4273430,3371
4084690,3370
3924359,3365
2435216,3365
1689688,3360
4472896,3347
3450194,3347
3924193,3347
2924097,3343
2240805,3342
2193312,3334
1510780,3333
4158625,3330
4472288,3326
3985488,3323
1619036,3313
4472253,3312
4424237,3309
1607409,3307
3828763,3307
3924603,3304
2149270,3302
2882574,3302
4415134,3300
2846560,3290
4467818,3289
3827561,3286
4037532,3284
4228724,3280
4109830,3276
4219362,3274
2880046,3274
4125383,3274
308193,3267
3159392,3259
3916473,3257
4414869,3254
3867268,3249
4115040,3238
294716,3238
3975348,3238
2965289,3238
4309,3235
3687186,3235
989117,3232
3815944,3227
1918425,3224
4148139,3223
4292565,3222
1808202,3222
3865211,3222
4320842,3222
3312465,3221
1353642,3218
4243657,3212
2036493,3205
3795460,3205
3287180,3200
4052152,3198
3698654,3194
4161592,3194
4053165,3193
3157755,3192
4079326,3187
4158665,3185
2113731,3171
10369,3170
2939931,3170
526641,3167
2489493,3167
1222720,3163
1758115,3160
2882239,3156
1619733,3156
2964989,3152
4083808,3151
3802794,3144
3916698,3143
2178586,3143
117231,3138
3624007,3136
4129988,3136
4141904,3135
4381575,3132
8724,3130
2111722,3130
3014165,3129
3916652,3117
3920307,3117
2435271,3115
457114,3111
3828907,3110
3795668,3108
2937936,3108
928841,3102
3408473,3101
1802734,3100
2052608,3099
3916308,3097
3294252,3095
4472955,3092
4336063,3090
3335356,3084
4038645,3073
3924494,3070
2348720,3065
4063897,3062
3916469,3061
3157915,3059
3911334,3058
2169588,3057
39515,3055
4076003,3051
2964667,3045
3865936,3042
4529695,3039
4053192,3038
3800147,3037
4319188,3037
3863511,3036
1583705,3030
3865860,3029
4034944,3028
2404330,3023
272655,3023
4636640,3023
1061284,3022
4053191,3021
4161689,3015
3908875,3014
2964735,3014
3828902,3011
1230636,3007
3294117,3000
4053187,2997
4332728,2992
855034,2991
688253,2991
3876415,2983
4381620,2982
2405271,2981
3786218,2979
165931,2978
4052326,2968
4077410,2966
3157840,2964
4243671,2964
3865797,2960
1619043,2959
4381518,2958
3325707,2957
3628877,2954
1690828,2951
3335346,2948
3628727,2946
3986484,2946
72585,2942
3255546,2942
3299971,2941
1596354,2938
1595408,2933
451370,2925
4158608,2922
3157889,2919
4414741,2919
4146952,2918
4472199,2917
3266593,2914
2465268,2907
4381488,2906
49466,2905
3865946,2903
2846342,2901
2169557,2900
4578903,2897
4053117,2893
3878705,2882
4424239,2878
3879094,2877
20445,2877
543129,2877
84138,2876
1061362,2876
2185179,2874
426928,2874
3157984,2873
3877479,2873
2880170,2873
3864491,2873
3918530,2867
4278,2863
4199661,2861
2964637,2861
1397500,2861
86666,2860
345408,2859
4415085,2859
4415102,2855
1811197,2854
4336794,2853
4077407,2851
3612372,2849
1605715,2848
2150208,2848
1661273,2841
2432914,2837
3919638,2837
4035077,2824
3629270,2821
3878601,2818
999025,2816
923405,2816
524573,2815
3916310,2798
4086069,2798
93499,2794
69717,2791
3754619,2789
3157972,2785
418131,2785
2350630,2780
2149338,2779
3863293,2779
3863306,2775
3294273,2773
4063723,2772
3924573,2767
2880181,2766
800977,2766
3299969,2765
3953637,2761
2111689,2759
1923200,2758
1637845,2758
2846456,2757
224949,2755
3865371,2754
637879,2753
3932465,2750
3877135,2749
2229367,2746
3828846,2745
4100079,2744
1801841,2740
1894586,2740
4158809,2739
4200868,2738
957056,2736
337175,2731
1583668,2731
4067304,2730
1625234,2729
184971,2725
3527724,2722
3268461,2717
1393799,2714
3027885,2709
3932463,2708
1352748,2705
3828943,2701
3159310,2699
83678,2698
3998375,2698
1126069,2695
4291907,2695
4566520,2695
2846417,2695
17765,2689
75577,2688
3294140,2685
498145,2685
4228965,2685
2883477,2685
3865770,2681
669456,2679
3916445,2677
3877484,2676
2229364,2675
2146219,2674
2130501,2671
4482945,2671
3276609,2670
3813953,2669
3878696,2668
4472306,2666
2149282,2665
4139140,2660
1459085,2659
4067639,2651
44269,2648
3920476,2648
4087694,2646
2371219,2645
1885325,2634
2880668,2633
1852524,2630
2880667,2628
2880666,2627
18180,2625
3815956,2622
3332575,2613
3579786,2612
2973043,2610
4467799,2607
1852587,2606
3828777,2604
1353851,2604
187733,2604
4146954,2602
4321211,2601
3865935,2596
3159596,2596
1758045,2593
30257,2592
4228925,2592
163006,2587
2111708,2585
4038595,2585
261015,2584
2172642,2583
4472894,2580
4063719,2580
3294221,2579
3877130,2578
3828824,2574
4111682,2573
3910225,2570
3629017,2569
2404329,2567
1639642,2565
55231,2563
4131191,2563
3924663,2559
2254798,2556
3877517,2555
46136,2555
182032,2554
3637794,2554
4080764,2551
2153685,2549
1808601,2547
1349328,2546
4200839,2546
402308,2544
1768672,2544
4482990,2542
3628862,2541
4291901,2534
2350790,2533
3882205,2528
4417403,2525
345489,2522
3815072,2520
4275004,2520
3294198,2520
1197562,2517
512819,2515
3828852,2511
4100093,2509
4038375,2507
2111813,2506
4065577,2504
4200820,2503
4080779,2500
3276584,2498
3985447,2489
1126066,2487
3911247,2487
4428163,2486
4125341,2482
1885321,2478
3312507,2478
1397389,2471
4414736,2469
4084685,2468
47501,2461
4321263,2454
4321219,2452
3910441,2445
1789983,2443
3811330,2440
4500815,2438
2964598,2437
3985420,2437
3865205,2430
2254422,2428
1596356,2424
34554,2423
4387183,2419
1284160,2418
4063915,2417
4086031,2416
4086261,2414
4596505,2413
3884921,2412
3924370,2412
3294207,2410
3794315,2406
3865957,2404
3909417,2403
3799999,2403
343939,2398
165917,2396
3794303,2392
3527706,2392
528155,2388
289785,2387
367213,2386
3865853,2386
3910995,2386
1919081,2386
4414897,2384
4055955,2381
4273433,2375
4053147,2371
4529698,2370
3916443,2364
1639832,2357
1808194,2354
3028119,2352
524513,2350
5278,2349
13838,2345
3715297,2344
4228978,2343
3628915,2343
3916460,2342
4336869,2341
3315079,2336
4065583,2333
2882371,2328
957229,2326
4336392,2326
1852681,2325
303819,2321
2350789,2321
4273435,2317
4200850,2316
3715299,2316
3287181,2316
1753769,2314
2465272,2313
4336789,2313
4039719,2313
3780461,2313
3793688,2306
4414816,2305
2254050,2302
4063889,2300
4290155,2298
3918473,2295
2350723,2294
3878609,2294
3828924,2292
3815899,2290
2035391,2281
32025,2279
2465339,2276
2965105,2276
3924113,2274
2111809,2269
418127,2261
3985388,2261
1758322,2261
1846648,2258
4200829,2253
4154313,2248
2465212,2247
3824666,2246
3916478,2246
4414830,2246
4204160,2241
243294,2238
4381751,2237
55212,2236
2392218,2235
4055946,2233
107414,2229
4038333,2229
3910108,2228
3800007,2226
3811435,2226
2392233,2226
3916706,2225
3800223,2225
3863305,2223
4518161,2222
4034942,2221
93620,2221
3979797,2219
2465237,2218
4324752,2217
1126067,2215
2849381,2214
538204,2211
2435244,2206
3867265,2206
3924230,2205
4067331,2205
1881058,2201
3953636,2199
3920318,2197
2489548,2197
4241874,2195
1836792,2195
3573440,2194
3276610,2193
671407,2193
74964,2189
1688955,2188
2939932,2187
4109703,2187
3550806,2185
4428340,2183
2882356,2179
452878,2178
3039041,2176
3772305,2174
1705372,2174
270320,2173
3863294,2170
1894427,2168
188866,2166
4472130,2157
3159404,2156
4219363,2154
4228958,2154
3159308,2153
493825,2152
4065573,2151
4198857,2150
2176926,2150
4080789,2149
2396380,2148
3867000,2147
4146891,2147
4409,2146
4381754,2146
4091308,2145
3878474,2145
3908815,2143
3802795,2143
333730,2140
1802193,2140
422228,2137
1061445,2137
49244,2132
1802737,2132
3924700,2132
4146953,2131
1758047,2127
3408877,2125
26888,2120
1857469,2116
4055633,2113
3715304,2112
3159532,2111
2168673,2110
4161871,2109
4274479,2108
21191,2107
3869410,2106
408026,2105
3912061,2102
2150545,2101
2924112,2097
327759,2096
3800267,2092
1758139,2089
4036157,2088
3909436,2087
2939930,2086
1852571,2085
4381698,2083
69716,2082
4086565,2082
3863301,2080
3916664,2078
13645,2077
4063912,2077
4631100,2076
3863299,2074
4578907,2072
224952,2066
4566522,2062
4243453,2059
1802708,2057
3628951,2054
3878588,2054
1836832,2053
3815934,2053
3698974,2053
2254267,2053
1391265,2052
2465310,2049
1758263,2048
514041,2046
1397947,2041
1607381,2037
3876380,2034
109973,2028
13408,2027
4141915,2027
3032154,2025
3159478,2025
3910317,2024
4052168,2023
1826363,2022
4063731,2021
3550807,2018
4304632,2016
467743,2015
4052210,2015
4274472,2015
2938013,2014
3911170,2013
4103056,2008
3924135,2008
4384864,2008
3261942,2007
252587,2005
20022,2005
465,2003
260432,2002
1893325,2001
3878731,2000
4161366,1999
3878549,1997
2167802,1996
4063877,1992
2465283,1990
2396395,1990
3985450,1989
2849503,1989
3869526,1988
1283305,1988
4414978,1988
